"month";"day";"year";"age";"kg.meat";"hours";"datatype";"date";"date.s";"age.s";"hunter.id";"iszero";"nonzero";"dayid"
10;2;1981;67;0;6.97;1;4292;-2.56117941985097;1.51719821697403;1;1;NA;57
10;3;1981;67;0;9;1;4293;-2.56076629221157;1.51719821697403;1;1;NA;58
10;4;1981;67;0;1.55;1;4294;-2.56035316457217;1.51719821697403;1;1;NA;59
10;5;1981;67;4.5;8;1;4295;-2.55994003693277;1.51719821697403;1;0;4.5;60
10;6;1981;67;0;3;1;4296;-2.55952690929337;1.51719821697403;1;1;NA;61
10;7;1981;67;0;7.5;1;4297;-2.55911378165397;1.51719821697403;1;1;NA;62
10;8;1981;67;0;9;1;4298;-2.55870065401456;1.51719821697403;1;1;NA;63
2;6;1982;68;0;7.3;1;4419;-2.50871220964706;1.59098602555095;1;1;NA;89
2;7;1982;68;0;8.1;1;4420;-2.50829908200766;1.59098602555095;1;1;NA;90
2;8;1982;68;0;6;1;4421;-2.50788595436825;1.59098602555095;1;1;NA;91
2;9;1982;68;0;8;1;4422;-2.50747282672885;1.59098602555095;1;1;NA;92
2;10;1982;68;0;6.6;1;4423;-2.50705969908945;1.59098602555095;1;1;NA;93
2;11;1982;68;0;7.1;1;4424;-2.50664657145005;1.59098602555095;1;1;NA;94
2;12;1982;68;0;8.3;1;4425;-2.50623344381065;1.59098602555095;1;1;NA;95
2;13;1982;68;0;7.8;1;4426;-2.50582031617125;1.59098602555095;1;1;NA;96
2;14;1982;68;0;7.8;1;4427;-2.50540718853185;1.59098602555095;1;1;NA;97
2;15;1982;68;2.8;3.4;1;4428;-2.50499406089245;1.59098602555095;1;0;2.8;98
3;29;1982;68;0;9.8;1;4470;-2.48764270003761;1.59098602555095;1;1;NA;112
3;30;1982;68;0;9.6;1;4471;-2.48722957239821;1.59098602555095;1;1;NA;113
3;31;1982;68;0;8.1;1;4472;-2.48681644475881;1.59098602555095;1;1;NA;114
4;1;1982;68;0;8.6;1;4473;-2.48640331711941;1.59098602555095;1;1;NA;115
4;2;1982;68;0;5.7;1;4474;-2.48599018948001;1.59098602555095;1;1;NA;116
4;3;1982;68;5.5;8.7;1;4475;-2.48557706184061;1.59098602555095;1;0;5.5;117
4;4;1982;68;0;7.7;1;4476;-2.48516393420121;1.59098602555095;1;1;NA;118
4;5;1982;68;0;11.2;1;4477;-2.4847508065618;1.59098602555095;1;1;NA;119
4;6;1982;68;0;9.7;1;4478;-2.4843376789224;1.59098602555095;1;1;NA;120
3;31;1980;62;0;8;1;3742;-2.78839962152146;1.14825917408942;2;1;NA;1
4;1;1980;62;0;9.8;1;3743;-2.78798649388206;1.14825917408942;2;1;NA;2
4;2;1980;62;0;6;1;3744;-2.78757336624266;1.14825917408942;2;1;NA;3
12;10;1981;63;0;7.2;1;4361;-2.53267361273231;1.22204698266634;2;1;NA;77
12;11;1981;63;0;9;1;4362;-2.53226048509291;1.22204698266634;2;1;NA;78
12;12;1981;63;0;11;1;4363;-2.53184735745351;1.22204698266634;2;1;NA;79
12;13;1981;63;0;0.4;1;4364;-2.53143422981411;1.22204698266634;2;1;NA;80
12;14;1981;63;3.9;5.2;1;4365;-2.5310211021747;1.22204698266634;2;0;3.9;81
12;15;1981;63;0;5.9;1;4366;-2.5306079745353;1.22204698266634;2;1;NA;82
4;18;1982;64;0;6.7;1;4490;-2.47938014724959;1.29583479124326;2;1;NA;121
4;19;1982;64;0;5.3;1;4491;-2.47896701961019;1.29583479124326;2;1;NA;122
4;20;1982;64;0;8;1;4492;-2.47855389197079;1.29583479124326;2;1;NA;123
4;21;1982;64;0;4.4;1;4493;-2.47814076433139;1.29583479124326;2;1;NA;124
4;22;1982;64;0;2.1;1;4494;-2.47772763669199;1.29583479124326;2;1;NA;125
4;23;1982;64;0;9;1;4495;-2.47731450905259;1.29583479124326;2;1;NA;126
4;24;1982;64;3;9.4;1;4496;-2.47690138141319;1.29583479124326;2;0;3;127
4;25;1982;64;0.45;7.7;1;4497;-2.47648825377379;1.29583479124326;2;0;0.45;128
4;26;1982;64;0;7.1;1;4498;-2.47607512613439;1.29583479124326;2;1;NA;129
3;31;1980;56;0;7.8;1;3742;-2.78839962152146;0.705532322627891;3;1;NA;1
4;1;1980;56;0.85;9.8;1;3743;-2.78798649388206;0.705532322627891;3;0;0.85;2
4;2;1980;56;0;5.4;1;3744;-2.78757336624266;0.705532322627891;3;1;NA;3
4;25;1980;56;5.7;6.7;1;3767;-2.77807143053644;0.705532322627891;4;0;5.7;15
4;26;1980;56;0;9;1;3768;-2.77765830289704;0.705532322627891;4;1;NA;16
4;28;1980;56;1;8;1;3770;-2.77683204761824;0.705532322627891;4;0;1;17
4;29;1980;56;24.36;4.5;1;3771;-2.77641891997884;0.705532322627891;4;0;24.36;18
